Algorithms, percent of models, TP, FN, TN, FP, Precision, Recall, F-Measure, Accuracy
J48, 0.1, 0.9941999317639031, 0.005800068236096895, 0.8242424242424242, 0.17575757575757575, 0.8497743938325478, 0.9941999317639031, 0.9163312445684489, 0.9512879367508289
J48, 0.2, 0.991641078130331, 0.008358921869669056, 0.843939393939394, 0.15606060606060607, 0.8640233710464407, 0.991641078130331, 0.923443963777393, 0.9543483805151747
J48, 0.30000000000000004, 0.9898783122938701, 0.010121687706129876, 0.8565656565656565, 0.14343434343434344, 0.8734379760877379, 0.9898783122938701, 0.9280199127267369, 0.9562186517044972
J48, 0.4, 0.9883145684066872, 0.011685431593312862, 0.8707070707070707, 0.1292929292929293, 0.8843127577802992, 0.9883145684066872, 0.9334256414187291, 0.9586202499362407
J48, 0.5, 0.9868304332992153, 0.013169566700784716, 0.8816161616161616, 0.11838383838383838, 0.8928860752010015, 0.9868304332992153, 0.9375106815234298, 0.9602652384595767
J48, 0.6, 0.9849880586830433, 0.01501194131695667, 0.8964646464646465, 0.10353535353535354, 0.9048845873472304, 0.9849880586830433, 0.9432387043598467, 0.9626370823769447
J48, 0.7, 0.9833796363990837, 0.016620363600916312, 0.9095238095238095, 0.09047619047619047, 0.9157464268369622, 0.9833796363990837, 0.9483587274056213, 0.964732029001348
J48, 0.7999999999999999, 0.982173319686114, 0.017826680313886047, 0.9193181818181818, 0.08068181818181819, 0.924089543995935, 0.982173319686114, 0.9522465263375122, 0.9663032389696506
J48, 0.8999999999999999, 0.978770992077031, 0.02122900792296903, 0.9282828282828283, 0.07171717171717172, 0.931729671795501, 0.978770992077031, 0.9546711942642215, 0.9660234067273088
J48, 0.9999999999999999, 0.9760491299897646, 0.023950870010235416, 0.9354545454545454, 0.06454545454545454, 0.9379725250306932, 0.9760491299897646, 0.9566320888890104, 0.9657995409334353
J48 + SVM, 0.1, 1.0, 0.0, 0.22323232323232323, 0.7767676767676768, 0.5628197839681637, 1.0, 0.7202619134230629, 0.8038765621015047
J48 + SVM, 0.2, 1.0, 0.0, 0.24444444444444444, 0.7555555555555555, 0.569620253164557, 1.0, 0.7258064516129034, 0.8092323386891099
J48 + SVM, 0.30000000000000004, 1.0, 0.0, 0.26026936026936026, 0.7397306397306397, 0.5748016257015676, 1.0, 0.7299987710458399, 0.813227918048117
J48 + SVM, 0.4, 0.9989764585465711, 0.0010235414534288639, 0.3373737373737374, 0.6626262626262627, 0.6012125797684351, 0.9989764585465711, 0.7506578277815802, 0.8319306299413415
J48 + SVM, 0.5, 0.9969976117366086, 0.003002388263391334, 0.4614141414141414, 0.5385858585858586, 0.6492630527777449, 0.9969976117366086, 0.7864048834565195, 0.8617699566437134
J48 + SVM, 0.6, 0.9947117024906176, 0.005288297509382463, 0.5493265993265993, 0.45067340067340067, 0.688198391081481, 0.9947117024906176, 0.8135419662151264, 0.882257927399473
J48 + SVM, 0.7, 0.9922015889262563, 0.0077984110737437246, 0.6121212121212121, 0.3878787878787879, 0.7189447843778876, 0.9922015889262563, 0.8337546904681942, 0.8962363828469414
J48 + SVM, 0.7999999999999999, 0.9897219379051518, 0.010278062094848175, 0.6592171717171718, 0.3407828282828283, 0.7438695170862087, 0.9897219379051518, 0.8493627237021666, 0.9062739097169089
J48 + SVM, 0.8999999999999999, 0.9580348004094166, 0.04196519959058342, 0.6970819304152638, 0.30291806958473627, 0.7597705062631398, 0.9580348004094166, 0.847461097596337, 0.892147694749072
J48 + SVM, 0.9999999999999999, 0.9189013988399863, 0.08109860116001365, 0.7273737373737373, 0.2726262626262626, 0.7711960272153657, 0.9189013988399863, 0.8385943878300786, 0.8705432287681714
Random Forest + SVM, 0.1, 1.0, 0.0, 0.2313131313131313, 0.7686868686868686, 0.5653912050256996, 1.0, 0.7223641006931777, 0.8059168579444019
Random Forest + SVM, 0.2, 1.0, 0.0, 0.2585858585858586, 0.7414141414141414, 0.574245939675174, 1.0, 0.7295504789977892, 0.81280285641418
Random Forest + SVM, 0.30000000000000004, 1.0, 0.0, 0.2831649831649832, 0.7168350168350168, 0.5824671504216513, 1.0, 0.7361507002106829, 0.8190087562696591
